"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-02-28,"Freedom Park","NC","Charlotte","Mecklenburg","Charlotte",3338,448200,0.00223613595706619,-0.0051054384017758,0.117427075542259,0.0524547867556642,0.0395162057631653,"2014-11","2014-Q4",450500,-0.0051054384017758,"2014-10"
2015-02-28,"Cylburn","MD","Baltimore","Baltimore City","Baltimore",3339,120500,0.00166251039068994,-0.00413223140495868,0.15090735434575,-0.00998428959086384,0.0360045633772166,"2008-01","2008-Q1",138100,-0.127443881245474,"2007-06"
2015-02-28,"Mid-Govans","MD","Baltimore","Baltimore City","Baltimore",3340,111300,0.00451263537906137,0.0118181818181818,-0.0330147697654214,-0.0380157468688405,0.0284185861538797,"2008-05","2008-Q2",135800,-0.180412371134021,"2006-04"
2015-02-28,"Oakhurst","NC","Charlotte","Mecklenburg","Charlotte",3341,147800,0.00271370420624152,0.0130226182316655,0.144848954298993,0.0129365467406257,0.0255887648992659,"2015-02","2015-Q1",147800,0,"2015-02"
2015-02-28,"Benning","DC","Washington","District of Columbia","Washington",3342,232600,-0.00936967632027257,-0.033651848774408,0.0543970988213962,0.030455229140308,0.0245536012027563,"2007-09","2007-Q3",256100,-0.0917610308473253,"2006-07"
2015-02-28,"Southwest","FL","Miami-Fort Lauderdale","Palm Beach","West Palm Beach",3343,125300,0.00159872102318145,0.0137540453074434,0.0829732065687122,0.0587173582664429,-0.0330212829268288,"2006-03","2006-Q1",229200,-0.453315881326353,"2004-02"
2015-02-28,"West End","GA","Augusta","Richmond","Augusta",3344,44500,0.00678733031674208,0.0113636363636364,-0.102822580645161,-0.0397314581072181,-0.0186169053604355,"2006-04","2006-Q2",57800,-0.230103806228374,"2001-05"
2015-02-28,"Arroyo Chico","AZ","Tucson","Pima","Tucson",3345,122600,0.00574241181296144,0.0199667221297837,0.0670147954743255,-0.0149646801952233,-0.0088518671255835,"2006-06","2006-Q2",172900,-0.29091960670908,"2004-10"
2015-02-28,"Kissingbower","GA","Augusta","Richmond","Augusta",3346,39200,-0.0050761421319797,-0.00759493670886076,-0.0644391408114559,-0.0455873792718801,-0.0222665858763659,"2007-12","2007-Q4",56200,-0.302491103202847,"1996-08"
2015-02-28,"Field","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3347,235200,0.00555793073963232,0.0177412375594981,0.0270742358078603,0.0153973308048987,-0.00292846516549339,"2006-05","2006-Q2",246600,-0.0462287104622871,"2004-11"
2015-02-28,"Fourth Plain Village","WA","Portland","Clark","Vancouver",3348,152100,0.00728476821192053,0.0146764509673115,0.0817923186344239,0.0172993316034271,0.011176828162788,"2007-05","2007-Q2",180400,-0.156873614190687,"2005-08"
2015-02-28,"Buckeye Plat","OH","Youngstown","Mahoning","Youngstown",3349,27900,-0.0176056338028169,-0.0542372881355932,-0.105769230769231,-0.0157182061961605,-0.0321917412414516,"2007-01","2007-Q1",45200,-0.382743362831858,
2015-02-28,"Essex Village","CT","Hartford","Middlesex","Essex",3350,423100,-0.0032979976442874,-0.00212264150943396,0.00260663507109005,-0.00576059150884622,-0.0130922199305634,"2006-04","2006-Q2",508500,-0.167944936086529,"2004-02"
2015-02-28,"South Geyer Springs","AR","Little Rock","Pulaski","Little Rock",3351,89600,0,-0.00665188470066519,0.0135746606334842,-0.0163535387555156,0.00191738736983416,"2009-03","2009-Q1",100400,-0.107569721115538,"2005-11"
2015-02-28,"Olde Glebe","VA","Washington","Arlington","Arlington",3352,1260800,0.0100136185211888,0.0476111341919402,0.051893876188887,0.046604258429833,0.019655000437834,"2015-02","2015-Q1",1260800,0,"2015-02"
2015-02-28,"Chimney Hills","OK","Tulsa","Tulsa","Tulsa",3353,182800,0.0055005500550055,0.0144284128745838,0.0310208685843204,0.0207007865482303,0.0138554534915822,"2015-02","2015-Q1",182800,0,"2015-02"
2015-02-28,"Walbrook","MD","Baltimore","Baltimore City","Baltimore",3354,73900,-0.0053835800807537,0.00818553888130969,-0.0276315789473684,-0.00532653472652056,0.019871779466291,"2009-05","2009-Q2",88800,-0.167792792792793,"2007-12"
2015-02-28,"Bellewood","AL","Mobile","Mobile","Mobile",3355,82200,0.00611995104039168,0.0123152709359606,0.0405063291139241,-0.0359247515649909,-0.00724529215724889,"2007-08","2007-Q3",116600,-0.295025728987993,"2004-08"
